method,class,support,baseline_accuracy_pct,method_accuracy_pct,change_pp,confused_with,confused_count
erm,dog,772,36.787564766839374,36.787564766839374,0.0,person,238
erm,elephant,740,88.78378378378379,88.78378378378379,0.0,person,71
erm,giraffe,753,23.50597609561753,23.50597609561753,0.0,person,394
erm,guitar,608,83.05921052631578,83.05921052631578,0.0,person,79
erm,horse,816,45.588235294117645,45.588235294117645,0.0,person,297
erm,house,80,45.0,45.0,0.0,person,37
erm,person,160,98.75,98.75,0.0,elephant,2
dan,dog,772,36.787564766839374,62.56476683937824,25.777202072538863,person,132
dan,elephant,740,88.78378378378379,80.0,-8.78378378378379,house,77
dan,giraffe,753,23.50597609561753,73.83798140770253,50.332005312085,dog,65
dan,guitar,608,83.05921052631578,86.01973684210526,2.9605263157894797,person,39
dan,horse,816,45.588235294117645,61.88725490196079,16.299019607843142,dog,127
dan,house,80,45.0,100.0,55.0,,0
dan,person,160,98.75,75.625,-23.125,house,39
dann,dog,772,36.787564766839374,70.46632124352331,33.67875647668394,giraffe,126
dann,elephant,740,88.78378378378379,63.108108108108105,-25.675675675675684,dog,220
dann,giraffe,753,23.50597609561753,63.612217795484725,40.1062416998672,dog,234
dann,guitar,608,83.05921052631578,1.4802631578947367,-81.57894736842104,giraffe,312
dann,horse,816,45.588235294117645,5.269607843137255,-40.31862745098039,dog,402
dann,house,80,45.0,98.75,53.75,giraffe,1
dann,person,160,98.75,6.25,-92.5,giraffe,96
cdan,dog,772,36.787564766839374,73.18652849740933,36.39896373056995,person,143
cdan,elephant,740,88.78378378378379,57.16216216216217,-31.62162162162162,dog,192
cdan,giraffe,753,23.50597609561753,30.0132802124834,6.507304116865871,person,278
cdan,guitar,608,83.05921052631578,85.52631578947368,2.4671052631579045,person,79
cdan,horse,816,45.588235294117645,60.66176470588235,15.073529411764703,dog,180
cdan,house,80,45.0,76.25,31.25,person,19
cdan,person,160,98.75,100.0,1.25,,0
dann_alpha0.25,dog,772,36.787564766839374,0.0,-36.787564766839374,horse,579
dann_alpha0.25,elephant,740,88.78378378378379,0.0,-88.78378378378379,horse,625
dann_alpha0.25,giraffe,753,23.50597609561753,5.710491367861885,-17.795484727755646,horse,604
dann_alpha0.25,guitar,608,83.05921052631578,37.33552631578947,-45.72368421052631,horse,342
dann_alpha0.25,horse,816,45.588235294117645,92.76960784313727,47.18137254901962,house,44
dann_alpha0.25,house,80,45.0,100.0,55.0,,0
dann_alpha0.25,person,160,98.75,1.25,-97.5,horse,104
dann_alpha0.5,dog,772,36.787564766839374,18.523316062176164,-18.26424870466321,elephant,621
dann_alpha0.5,elephant,740,88.78378378378379,100.0,11.21621621621621,,0
dann_alpha0.5,giraffe,753,23.50597609561753,11.42098273572377,-12.08499335989376,elephant,537
dann_alpha0.5,guitar,608,83.05921052631578,79.27631578947368,-3.7828947368420955,elephant,122
dann_alpha0.5,horse,816,45.588235294117645,6.862745098039216,-38.725490196078425,elephant,752
dann_alpha0.5,house,80,45.0,25.0,-20.0,elephant,59
dann_alpha0.5,person,160,98.75,1.25,-97.5,elephant,145
